u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
2,40,inf,inf,inf,163.6001222493431,inf
2,41,inf,inf,inf,324.82918588082566,inf
2,42,inf,inf,inf,343.5476677260377,inf
2,43,inf,inf,inf,230.7834482799839,inf
2,44,inf,inf,inf,139.0898989862312,inf
2,45,inf,inf,inf,480.58506010903,inf
2,46,inf,inf,inf,502.3405219569689,inf
2,47,inf,inf,inf,502.0537819795804,inf
2,48,inf,inf,inf,165.71059109181888,inf
2,49,inf,inf,inf,476.0556690136144,inf
2,50,inf,inf,inf,274.7289573379552,inf
2,51,inf,inf,inf,232.36393868240398,inf
2,52,inf,inf,inf,433.44665185002873,inf
2,53,inf,inf,inf,504.0079364454492,inf
2,54,7.0,524.700576850888,524.700576850888,87.78382538941898,5.977189698936642
2,55,inf,inf,inf,343.2812258192982,inf
2,56,inf,inf,inf,116.72617529928752,inf
2,57,inf,inf,inf,240.63457773146402,inf
2,58,inf,inf,inf,155.79473675320358,inf
2,59,inf,inf,inf,132.5028301584536,inf
2,60,inf,inf,inf,508.8437874239991,inf
2,61,12.0,796.749350086167,796.749350086167,509.6125979604507,1.5634412360975425
2,62,inf,inf,inf,489.1155282752736,inf
2,63,inf,inf,inf,379.7077823800824,inf
2,64,2.0,35.97056274847715,35.97056274847715,18.35755975068582,1.9594414092610173
2,65,inf,inf,inf,451.2704289004543,inf
2,66,inf,inf,inf,176.91806012954132,inf
2,67,inf,inf,inf,400.3123780249619,inf
2,68,inf,inf,inf,509.1659847240387,inf
2,69,inf,inf,inf,73.7563556583431,inf
2,70,inf,inf,inf,510.13135563303695,inf
2,71,inf,inf,inf,515.8885538563537,inf
2,72,inf,inf,inf,485.3091798019073,inf
2,73,7.0,438.51681066681437,438.51681066681437,210.75341041131458,2.080710389506807
2,74,inf,inf,inf,510.5536210820564,inf
2,75,inf,inf,inf,380.2959373961284,inf
2,76,inf,inf,inf,203.03940504246953,inf
2,77,inf,inf,inf,425.0799924720052,inf
2,78,inf,inf,inf,103.31021246711285,inf
2,79,inf,inf,inf,507.4692108887001,inf
2,80,inf,inf,inf,271.42586464815764,inf
2,81,inf,inf,inf,352.41452864489,inf
2,82,inf,inf,inf,406.9754292337561,inf
2,83,inf,inf,inf,443.2651576652512,inf
2,84,inf,inf,inf,409.136896405103,inf
2,85,inf,inf,inf,265.32432983049256,inf
2,86,inf,inf,inf,335.85860119996926,inf
2,87,inf,inf,inf,503.4212947422864,inf
2,88,inf,inf,inf,60.876925020897694,inf
2,89,inf,inf,inf,505.3098059606601,inf
2,90,inf,inf,inf,503.8769691105161,inf
2,91,inf,inf,inf,507.235645435137,inf
2,92,6.0,314.4213562373094,314.4213562373094,45.5411901469428,6.904109339760341
